Fordham Username,Year,Used Online Marketplace,Frequency of Use,Encountered Issues,Trust Level,Exclusive Marketplace for Fordham Students,Features for Trust,Likelihood of Using Fordham Marketplace,Reason for Likelihood
user1,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Security measures provided are robust.
user2,Sophomore,Yes,A few times a year,Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; Pay for products in person.; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user3,Junior,Yes,Rarely,Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
user4,Senior,Yes,Once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trustworthiness of the platform.
user5,Freshman,No,Never,None,3,No,,,Not interested in using online marketplaces.
user6,Sophomore,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user7,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Assurance of safety measures.
user8,Senior,No,Never,None,2,No,,,Concerned about security.
user9,Freshman,Yes,Once a month,Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user10,Sophomore,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Reliability of the platform.
user11,Junior,No,Never,None,3,Yes,,,Potential interest if safety measures are enhanced.
user12,Senior,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Previous positive experiences.
user13,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user14,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Community trust.
user15,Junior,Yes,Once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
user16,Senior,Yes,A few times a year,Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Neutral,
user17,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user18,Sophomore,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user19,Junior,Yes,Once a month,Scams or fraudulent transactions,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user20,Senior,Yes,More than once a month,Difficulty verifying product authenticity or quality;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user21,Freshman,No,Never,None,2,Yes,,,Concerns about security.
user22,Sophomore,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user23,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user24,Senior,Yes,Once a month,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user25,Freshman,Yes,More than once a month,Scams or fraudulent transactions;Difficulty verifying product authenticity or quality,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's community.
user26,Sophomore,Yes,A few times a year,Unsafe or uncomfortable interactions with buyers or sellers;Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Platform's reputation.
user27,Junior,Yes,Rarely,Scams or fraudulent transactions;Transactions falling through due to lack of trust,2,Yes,"Mandatory university email verification for all users",Somewhat likely,
user28,Senior,No,Never,None,3,No,,,I prefer in-person transactions.
user29,Freshman,Yes,Once a month,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user30,Sophomore,Yes,More than once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user31,Junior,Yes,More than once a month,Transactions falling through due to lack of trust,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,
user32,Senior,Yes,A few times a year,Scams or fraudulent transactions;Unsafe or uncomfortable interactions with buyers or sellers,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user33,Freshman,Yes,Once a month,Scams or fraudulent transactions,2,Yes,"Mandatory university email verification for all users",Neutral,
user34,Sophomore,Yes,More than once a month,Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Very likely,Trust in the university's platform.
user35,Junior,Yes,More than once a month,Scams or fraudulent transactions;Transactions falling through due to lack of trust,3,Yes,"Mandatory university email verification for all users; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Somewhat likely,
user36,Senior,Yes,Once a month,Difficulty verifying product authenticity or quality,3,Yes,"Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Moderation and support from the marketplace team",Neutral,
