Fordham Username,Year,Used Online Marketplace,Frequency of Use,Encountered Issues,Trust Level,Exclusive Marketplace for Fordham Students,Features for Trust,Likelihood of Using Fordham Marketplace,Reason for Likelihood
user1190,Sophomore,"Yes, I have bought items",Rarely,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust,3,No,In-app messaging to initiate transactions,Neutral,Trust features are crucial for me.
user6839,Freshman,"No, I have never used an online marketplace",Rarely,Unsafe or uncomfortable interactions with buyers or sellers,4,Unsure,Pay for products in person; Ratings and reviews for buyers and sellers,Very likely,University-specific marketplace feels safer.
user8430,Senior,"Yes, I have both bought and sold items",Once a month,Scams or fraudulent transactions; Difficulty verifying product authenticity or quality; None of the above; Transactions falling through due to lack of trust,3,Unsure,Mandatory university email verification for all users,Neutral,Exclusive marketplace provides assurance.
user5658,Graduate Student,"Yes, I have bought items",Never,None of the above; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions,5,Unsure,Mandatory university email verification for all users,Very likely,University affiliation adds a layer of trust.
user6524,Junior,"Yes, I have both bought and sold items",A few times a year,Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above; Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers,4,Yes,Mandatory university email verification for all users; Ratings and reviews for buyers and sellers; Pay for products in person; In-app messaging to initiate transactions; Other (Please describe),Very likely,Trust features are crucial for me.
user6171,Sophomore,"Yes, I have bought items",Rarely,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Difficulty verifying product authenticity or quality,3,Yes,Other (Please describe); In-app messaging to initiate transactions; Pay for products in person,Very likely,University-specific marketplace feels safer.
user9160,Senior,"No, I have never used an online marketplace",Once a month,Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,3,No,Other (Please describe); Ratings and reviews for buyers and sellers,Very likely,University affiliation adds a layer of trust.
user968,Senior,"Yes, I have both bought and sold items",A few times a year,Unsafe or uncomfortable interactions with buyers or sellers; Transactions falling through due to lack of trust,2,Unsure,Pay for products in person; Other (Please describe),Very likely,Fordham-exclusive marketplace provides a sense of security.
user957,Graduate Student,"Yes, I have sold items",Once a month,Transactions falling through due to lack of trust; Difficulty verifying product authenticity or quality,2,No,Other (Please describe); Mandatory university email verification for all users; Pay for products in person,Neutral,University affiliation adds a layer of trust.
user8931,Freshman,"Yes, I have sold items",Once a month,Difficulty verifying product authenticity or quality; Transactions falling through due to lack of trust; Scams or fraudulent transactions; None of the above; Unsafe or uncomfortable interactions with buyers or sellers,1,No,In-app messaging to initiate transactions; Mandatory university email verification for all users; Pay for products in person; Ratings and reviews for buyers and sellers; Other (Please describe),Somewhat likely,University affiliation adds a layer of trust.
user1473,Graduate Student,"No, I have never used an online marketplace",A few times a year,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; Scams or fraudulent transactions; Difficulty verifying product authenticity or quality,5,Yes,Mandatory university email verification for all users; Other (Please describe); In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Neutral,Trust features are crucial for me.
user1465,Senior,"Yes, I have bought items",Once a month,Difficulty verifying product authenticity or quality; Unsafe or uncomfortable interactions with buyers or sellers; None of the above,4,Yes,Mandatory university email verification for all users; Other (Please describe); Pay for products in person; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Somewhat unlikely,University affiliation adds a layer of trust.
user7505,Sophomore,"Yes, I have both bought and sold items",More than once a month,None of the above; Scams or fraudulent transactions,4,No,Ratings and reviews for buyers and sellers,Very likely,Fordham-exclusive marketplace provides a sense of security.
user2386,Sophomore,"Yes, I have both bought and sold items",More than once a month,Difficulty verifying product authenticity or quality,4,Yes,Pay for products in person,Somewhat likely,Fordham-exclusive marketplace provides a sense of security.
user5992,Senior,"Yes, I have both bought and sold items",Once a month,Transactions falling through due to lack of trust; Unsafe or uncomfortable interactions with buyers or sellers; None of the above; Scams or fraudulent transactions,3,Yes,Pay for products in person; Mandatory university email verification for all users,Very likely,Fordham-exclusive marketplace provides a sense of security.
user1624,Senior,"Yes, I have sold items",A few times a year,Transactions falling through due to lack of trust,4,No,Other (Please describe); Mandatory university email verification for all users; Pay for products in person; In-app messaging to initiate transactions; Ratings and reviews for buyers and sellers,Very unlikely,Trust features are crucial for me.
